Nationality,Which SAP Specialisation would you like to apply for?,Do you have a computer to do this course?,How do you connect to the internet?,Which country do you currently live in?,Aptitude test performance,Gender,Highest Education ACN,Current career role,Nearest Metropolitan area,How close do you live to this city/town?,Disability,Age,Have you created a profile on the Yoma platform?
Nigerian,Technology Consultant Associate,I have my own computer but it is faulty,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,University Undergraduate,,Kogi,I live in this town/city,No,26,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,Teacher,Igando,I live 5-10km away from this town/city,No,33,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,31,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,Receptionist,PORT HARCOURT,I live 5-10km away from this town/city,No,28,Yes
Nigerian,Developer Associate,I share a computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Strong,Male,Bachelor's Degree,,Calabar,I live within 5km of this town/city,No,27,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Strong,Male,Postgraduate Degree (e.g. Masters),Sport,Kubwa,I live more than 10km away from this town or city,No,27,Yes
Nigerian,Developer Associate,"I don't have access to a computer, but can arrange to get/use one.","I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Abuja,I live in this town/city,No,29,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ogwashi-Uku,I live within 5km of this town/city,No,30,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Teaching,JEGA,I live in this town/city,No,45,Yes
Nigerian,End User Support Associate,I share a computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Production Technical Operator,Abuja,I live in this town/city,No,30,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Teaching,Lagos,I live in this town/city,No,32,No
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,34,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Benin city,I live in this town/city,No,33,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,I have no career role in IT for now,Lagos,I live in this town/city,No,37,No
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Video Editor,"Lagos, Nigeria",I live in this town/city,No,33,Yes
Nigerian,Developer Associate,"I don't have access to a computer, but can arrange to get/use one.","I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,,Sapele,I live in this town/city,No,31,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Lagos,I live in this town/city,No,25,No
Nigerian,Developer Associate,I share a computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Tertiary Diploma,,Jos Plateau State,I live in this town/city,No,30,Yes
Nigerian,End User Support Associate,I share a computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,,"Ikorodu, Lagos",I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,Finance,Lagos,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Strong,Male,Bachelor's Degree,Production Supervisor,Onitsha,I live in this town/city,No,41,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Bachelor's Degree,,Modakeke,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Benin,I live more than 10km away from this town or city,No,38,Yes
Nigerian,End User Support Associate,I only have a smart phone,I have very limited mobile data.,Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Jos city,I live 5-10km away from this town/city,No,28,No
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live within 5km of this town/city,No,28,No
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,"Fostering excellence by engaging in online tutorials on examinations like IELTS, GRE, GMAT, UTME, WAEC, NECO, SAT and other related examinations to prospective candidates. ","Gusau, Zamfara State",I live in this town/city,No,33,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Credit Administrator,Port Harcourt,I live in this town/city,No,35,No
Nigerian,Developer Associate,"I don't have a computer, and cannot arrange to use/get one.","I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Very Strong,Male,Bachelor's Degree,Transmission Support Engineer,Warri,I live within 5km of this town/city,I prefer not to say,24,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Gombe,I live 5-10km away from this town/city,No,26,Yes
South African,Developer Associate,"I don't have a computer, and cannot arrange to use/get one.",I have very limited mobile data.,South Africa,Strong,Male,High School,,Mafikeng,I live more than 10km away from this town or city,No,21,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Customer experience management personnel,okota Lagos,I live in this town/city,No,28,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Very Strong,Male,Bachelor's Degree,,Giwa,I live within 5km of this town/city,No,22,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Postgraduate Diploma,,Port Harcourt,I live in this town/city,No,37,Yes
Nigerian,End User Support Associate,I have my own computer but it is faulty,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Male,Bachelor's Degree,,Abuja,I live more than 10km away from this town or city,No,33,Yes
Nigerian,Technology Consultant Associate,I share a computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Kaura Namoda Zamfara State,I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,PORT-HARCOURT,I live in this town/city,No,28,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,Service desk analyst,Lagos,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Postgraduate Degree (e.g. Masters),Scientific officer,Isolo Lagos,I live in this town/city,No,28,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,Manager,Akure,I live in this town/city,No,33,Yes
Nigerian,Developer Associate,I have my own computer but it is faulty,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Abuja,I live within 5km of this town/city,No,27,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Port Harcourt,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I only have a smart phone,I have very limited mobile data.,Nigeria,Strong,Male,University Undergraduate,,Ile Ife,I live in this town/city,No,20,No
Nigerian,Technology Consultant Associate,"I have access to a computer, but it's not mine","I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,Secretary,Abuja,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Warri/Warri,I live in this town/city,No,35,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Ibadan,I live more than 10km away from this town or city,No,28,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Senior Regional manager,Asaba,I live in this town/city,No,33,Yes
Nigerian,End User Support Associate,"I don't have access to a computer, but can arrange to get/use one.","I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Other,,OWERRI/IMO STATE,I live in this town/city,No,38,Yes
Nigerian,End User Support Associate,I share a computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Male,Honour's Degree / Post-Graduate Diploma (NQF 8),,Lagos,I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer but it is faulty,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Abuja,I live within 5km of this town/city,No,23,No
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Warri,I live in this town/city,No,32,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Bachelor's Degree,Teaching,Ondo,I live in this town/city,No,28,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Jalingo,I live in this town/city,Yes,26,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Male,Bachelor's Degree,Fishery production farmer,Kaduna,I live more than 10km away from this town or city,No,34,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Eket,I live within 5km of this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Tertiary Diploma,Banking operation,Lagos,I live in this town/city,No,36,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,"Rumueme, Port Harcourt",I live in this town/city,No,36,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,,Lokoja,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,Educator,Yenagoa,I live within 5km of this town/city,No,32,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,Executive assistant,Federal Capital Territory,I live in this town/city,No,24,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Female,Postgraduate Degree (e.g. Masters),Customer Service,Lagos,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,University Undergraduate,,Abeokuta,I live in this town/city,No,24,No
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,High School,Owner,Aba,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Other,,Kaduna,I live in this town/city,No,25,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2GB or less a month",Nigeria,Strong,Male,High School,,Damaturu,I live in this town/city,No,23,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Postgraduate Diploma,,Katsina,I live more than 10km away from this town or city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Robotics Process Automation Support Specialist,Lagos,I live in this town/city,No,27,No
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,37,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Tertiary Diploma,,Otun-Ekiti,I live in this town/city,No,37,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Intelligence Analyst,Abuja,I live in this town/city,No,32,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Female,Bachelor's Degree,,Kaduna,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Territory Development Executive,Kaduna,I live in this town/city,No,36,Yes
Nigerian,Developer Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Kaduna,I live in this town/city,No,31,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,"Passable, Adequate",Female,Postgraduate Degree (e.g. Masters),,"Ilupeju, Lagos",I live in this town/city,No,30,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Male,Bachelor's Degree,Legal,Lagos,I live in this town/city,No,31,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Lagos,I live in this town/city,No,25,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Owerri,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Kaduna,I live in this town/city,No,27,No
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,,Onitsha,I live in this town/city,Yes,23,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Female,Bachelor's Degree,,Ibadan,I live in this town/city,No,25,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,Field service engineer,Lagos,I live within 5km of this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Ikeja,I live within 5km of this town/city,No,26,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live more than 10km away from this town or city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Female,Advanced Diploma / Post-graduate Certificate (NQF 7),,Lagos,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Postgraduate Degree (e.g. Masters),,Owerri,I live in this town/city,No,38,Yes
Nigerian,Technology Consultant Associate,I share a computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,FCT ABUJA,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,,Berger,I live in this town/city,No,39,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Nysc,Ikom,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Jos,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I share a computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Postgraduate Diploma,,"Kawo, kaduna",I live in this town/city,No,33,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,Business development,Sokoto,I live in this town/city,No,38,No
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Founder,Abuja,I live in this town/city,Yes,31,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Osogbo,I live 5-10km away from this town/city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Male,Postgraduate Degree (e.g. Masters),Lecturing,Akure,I live within 5km of this town/city,No,36,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,,Abuja,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ibadan,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,High School,Senior Frontend Engineer,Bwari,I live 5-10km away from this town/city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Sango,I live within 5km of this town/city,No,26,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Abuja,I live more than 10km away from this town or city,No,28,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Female,Tertiary Diploma,,Onitsha Anambra state,I live in this town/city,No,34,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,KANO,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I have my own computer but it is faulty,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Postgraduate Diploma,,Owerri,I live within 5km of this town/city,No,34,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Lagos Island,I live 5-10km away from this town/city,No,31,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Enumerator,Minna,I live in this town/city,No,36,Yes
Nigerian,End User Support Associate,I have my own computer but it is faulty,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Honour's Degree / Post-Graduate Diploma (NQF 8),,Yenagoa,I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Female,Postgraduate Degree (e.g. Masters),,"Minna, Niger State",I live in this town/city,Yes,28,No
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Honour's Degree / Post-Graduate Diploma (NQF 8),Radiographer,Calabar,I live in this town/city,No,33,No
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,"Onitsha, Anambra State",I live in this town/city,No,50,Yes
Nigerian,Developer Associate,I have my own computer but it is faulty,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Abuja,I live more than 10km away from this town or city,No,34,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Tertiary Diploma,,AWKA,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Kano,I live more than 10km away from this town or city,No,29,Yes
Nigerian,End User Support Associate,I share a computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Production Process technician,Shagamu,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Kaduna,I live in this town/city,No,29,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Passable,Male,Bachelor's Degree,,Ibadan,I live in this town/city,No,33,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigerian,Adequate,Male,Bachelor's Degree,,OSOGBO,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Manager,Benin City,I live in this town/city,No,36,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,IT manager,Gombe,I live in this town/city,No,33,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Oju,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),Mathematics and Computer Tutor,Benin,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Postgraduate Diploma,Teaching,Yenagoa,I live within 5km of this town/city,No,22,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Postgraduate Diploma,,Ijebu-Ode,I live 5-10km away from this town/city,No,32,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,University Undergraduate,ICT personnel,Abuja,I live in this town/city,No,29,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,WAREHOSE OFFICER,Lekki Freezone,I live 5-10km away from this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Male,Tertiary Diploma,,Lagos,I live in this town/city,No,46,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Legal Associate,Lagos,I live in this town/city,No,38,No
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,University Undergraduate,,Akure,I live in this town/city,No,23,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Birnin Kebbi,I live in this town/city,No,26,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Postgraduate Degree (e.g. Masters),Procurement Executive,Lagos,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,Marketer,FCT,I live within 5km of this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Owerri,I live in this town/city,No,26,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,University Undergraduate,,Oyo town,I live in this town/city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Tertiary Diploma,,Lagos Island,I live in this town/city,No,41,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,I have very limited mobile data.,Nigeria,Passable,Male,Bachelor's Degree,,Sokoto,I live in this town/city,No,23,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Advanced Diploma / Post-graduate Certificate (NQF 7),,Abuja,I live in this town/city,No,24,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Jalingo,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Postgraduate Degree (e.g. Masters),,Lagos,I live in this town/city,No,48,Yes
Nigerian,End User Support Associate,I share a computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Very Strong,Female,Bachelor's Degree,Environmental Scientific officer,Abeokuta,I live in this town/city,No,29,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Female,Bachelor's Degree,,Lagos,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ikare / irun akoko,I live in this town/city,No,33,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,"Berger, Lagos",I live within 5km of this town/city,No,34,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,Data Entry Assistant,Benue,I live in this town/city,No,39,No
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Supervisor Operation with food concept PLC,Kaduna,I live in this town/city,No,33,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Other,,"Bomadi, Delta state",I live in this town/city,No,26,Yes
